,0,1,2,3,4,5
0,27.5459,80.538,India,Uttar Pradesh,,Misrikh
1,27.9475,95.3099,India,Arunachal Pradesh,,Oyan Circle
2,20.3337,75.2676,India,Maharashtra,,Kannad
3,27.3406,94.7779,India,Assam,,Dibrugarh West
4,21.3074,85.4517,India,Odisha,,Telkoi
5,10.8488,78.8554,India,Tamil Nadu,,Lalgudi
6,27.0678,94.2459,India,Assam,,Majuli
7,24.1511,77.3956,India,Madhya Pradesh,,Lateri Tahsil
8,25.3928,74.3521,India,Rajasthan,,Sahara Tehsil
9,11.4575,76.0842,India,Kerala,Kodanchery,Kodanchery
10,19.1145,83.4825,India,Odisha,,Seskhal
11,20.2969,74.748,India,Maharashtra,,Nandgaon
12,27.3531,94.3944,India,Assam,,Gogamukh
13,23.4991,91.5736,India,Tripura,,Matarbari
14,21.5427,87.4662,India,,,Bay of Bengal
15,17.9,83.3588,India,Andhra Pradesh,,Anandapuram mandal
16,31.3414,76.6285,India,Himachal Pradesh,,Gobind Sagar
17,25.7354,82.4309,India,Uttar Pradesh,,Machhlishahr
18,26.0513,94.7655,India,Nagaland,,Mangko
19,9.39943,76.7275,India,Kerala,,Pathanamthitta district
20,27.2914,94.1222,India,Assam,,North Lakhimpur
21,12.5238,75.6883,India,Karnataka,,Pushpagiri Wildlife Sanctuary
22,19.5656,74.5501,India,Maharashtra,,Rahta
23,33.3752,75.1439,India,Jammu and Kashmir,,Banihal
24,20.9795,73.783,India,Gujarat,,Subir Taluka
25,26.8948,93.3551,India,Assam,,Biswanath
26,14.3584,75.4408,India,Karnataka,,Hirekeruru taluk
27,10.489,79.0039,India,Tamil Nadu,,Varappur Reserved Forest
28,28.1657,79.076,India,Uttar Pradesh,,Bisauli
29,22.9061,88.0848,India,West Bengal,,Dhaniakhali
30,21.898,70.9375,India,Gujarat,,Rajkot district
31,27.6131,94.9387,India,Assam,,Sissibargaon
32,17.6536,80.3401,India,Telangana,,Yellandu mandal
33,21.7477,73.4119,India,Gujarat,,Nandod Taluka
34,25.6099,85.1898,India,Bihar,,Patna Rural
35,22.8107,80.8349,India,Madhya Pradesh,,Gughari Tahsil
36,27.068,93.949,India,Assam,,Bihpuria
37,27.464,95.6068,India,Assam,,Tinsukia
38,11.8278,78.8554,India,Tamil Nadu,,Kallakkurichi
39,26.8946,93.751,India,Assam,,Gohpur
40,26.2074,82.6165,India,Uttar Pradesh,,Kadipur
41,21.8734,70.7643,India,Gujarat,,Gondal Taluka
42,26.9195,93.8747,India,Assam,,Narayanpur
43,10.7121,79.1771,India,Tamil Nadu,,Thanjavur
44,33.1767,76.4058,India,Himachal Pradesh,,Pangi
45,10.2916,78.2616,India,Tamil Nadu,,Natham
46,18.4473,79.6967,India,Telangana,,Chityal mandal
47,26.7465,92.4891,India,Assam,,Dhekiajuli (Pt)
48,27.6132,94.6542,India,Assam,,Sissibargaon
49,26.1795,86.2537,India,Bihar,,Tardih
50,27.3852,79.7586,India,Uttar Pradesh,,Sawayajpur
51,20.7752,84.1258,India,Odisha,,Baunsuni
52,27.8115,94.716,India,Arunachal Pradesh,,Gensi EAC
53,21.2719,84.2495,India,Odisha,,Rairakhol
54,24.7174,85.9321,India,Jharkhand,,Gawan
55,27.387,94.9182,India,Assam,,Dibrugarh West
56,32.7135,76.6135,India,Himachal Pradesh,,Udaipur
57,21.9781,82.5285,India,Chhattisgarh,,Janjgir Tahsil
58,11.8283,78.8042,India,Tamil Nadu,,Sankarapuram
59,26.8031,93.6379,India,Assam,,Gohpur
60,31.3063,76.8569,India,Himachal Pradesh,,Namhol
61,20.9855,82.7962,India,Odisha,,Jharbandha
62,30.1135,78.8529,India,Uttarakhand,,Pauri
63,19.4398,82.3216,India,Odisha,,Dabugan
64,26.1094,86.557,India,Bihar,,Supaul
65,26.5659,92.4354,India,Assam,,Dhekiajuli (Pt)
66,20.6511,86.0022,India,Odisha,,Badachana
67,22.3021,73.9531,India,Gujarat,,Chhota Udepur Taluka
68,26.3755,86.2422,India,Bihar,,Andhratharhi
69,26.5897,92.1815,India,Assam,,Dalgaon (Pt)
70,22.3056,88.3453,India,West Bengal,,Magrahat - II
71,28.5244,80.9261,Nepal,Sudurpashchim Pradesh,Urban Municipality,Bhajani-Trishakti
72,26.0844,86.1969,India,Bihar,,Alinagar
73,27.3624,94.0349,India,Arunachal Pradesh,,Kimin SDO
74,20.7933,85.8723,India,Odisha,,Gandia
75,10.8365,76.7588,India,Kerala,,Palakkad taluk
76,9.88679,78.4773,India,Tamil Nadu,,Sivaganga
77,26.73,82.845,India,Uttar Pradesh,,Basti
78,25.695,87.75,India,Bihar,,Kadwa
79,25.965,76.05,India,Rajasthan,,Uniara Tehsil
80,16.29,80.055,India,Andhra Pradesh,,Guntur district
81,33.5267,76.1256,India,Jammu and Kashmir,,Brammah Glacier
82,25.5869,86.1983,India,Bihar,,Naokothi
83,30.1895,74.7785,India,Punjab,,Bathinda Tahsil
84,15.2182,79.4844,India,Andhra Pradesh,,Pamur mandal
85,26.6381,93.1226,India,Assam,,Na-Duar
86,26.3166,91.8623,India,Assam,,Sipajhar
87,27.2504,94.6126,India,Assam,,Dibrugarh West
88,11.4729,77.8452,India,Tamil Nadu,,Sankari
89,15.7081,78.233,India,Andhra Pradesh,,Kurnool District
90,22.5263,88.0605,India,West Bengal,,Uluberia - II
91,26.8177,94.143,India,Assam,,Jorhat West
92,27.629,80.7483,India,Uttar Pradesh,,Sitapur
93,26.5,85.5,India,Bihar,,Runisaidpur
94,15.3059,74.7271,India,Karnataka,,Haliyala taluku
95,27.481,93.8215,India,Arunachal Pradesh,,Yachuli ADC
96,20.2249,84.7692,India,Odisha,,Tarasingi
97,20.9522,84.4064,India,Odisha,,Kishorenagar
98,27.0442,94.5503,India,Assam,,Sibsagar
99,16.6523,81.3801,India,Andhra Pradesh,,Akividu mandal
100,27.4995,89.7871,Bhutan,Thimphu District,,Thimphu District
101,25.2411,90.1201,India,Meghalaya,,Dalu
102,22.1496,110.224,People's Republic of China,Guangxi Zhuang Autonomous Region,Yulin,Luchuan County
103,26.4,93.755,India,Assam,,Silonijan
104,10.762,78.7172,India,Tamil Nadu,,Tiruchirapalli Airport
105,12.725,79.7002,India,Tamil Nadu,,Vembakkam
106,24.7214,93.9705,India,Manipur,,Keirao Bitra
107,20.9096,86.4033,India,Odisha,,Bhandari Pokhari
108,15.7067,79.878,India,Andhra Pradesh,,Thallur mandal
109,31.2388,76.5268,India,Punjab,,Anandpur Sahib Tahsil
110,22.6824,70.925,India,Gujarat,,Wankaner Taluka
111,20.4525,86.1978,India,Odisha,,Nemalo
112,10.3906,76.3115,India,Kerala,,Chalakudy taluk
113,27.5773,95.263,India,Assam,,Chabua
114,22.6315,88.4871,India,West Bengal,,Rajarhat
115,21.0263,77.5237,India,Maharashtra,,Daryapur
116,22.0231,72.2495,India,Gujarat,,Dholera Taluka
117,20.0539,81.8601,India,Chhattisgarh,,Bade Rajpur Tahsil
118,14.945,78.1615,India,Andhra Pradesh,,Kadapa District
119,26.2558,94.0189,India,Assam,,Golaghat
120,33.4819,74.2156,India,Jammu and Kashmir,,Mendhar
121,14.1349,79.9324,India,Andhra Pradesh,,Sri Potti Sri Ramulu Nellore district
122,19.73,83.7466,India,Odisha,,Kotagarh
123,32.8864,73.8842,Pakistan,Punjab,,Punjab
124,27.5853,81.5174,India,Uttar Pradesh,,Mahasi
125,18.1046,81.5288,India,Odisha,,Podia
126,20.1943,73.8242,India,Maharashtra,,Dindori
127,22.4114,71.3097,India,Gujarat,,Sayla Taluka
128,19.1719,83.6477,India,Odisha,,Gunupur
129,19.1028,72.8816,India,Maharashtra,Mumbai,K/E Ward
130,25.6151,83.6713,India,Uttar Pradesh,,Ghazipur
131,18.7332,75.2343,India,Maharashtra,,Ashti
132,26.5993,94.0245,India,Assam,,Dergaon
133,10.5443,76.0498,India,Kerala,,Chettuva Backwaters
134,17.4335,82.8115,India,Andhra Pradesh,,Visakhapatnam district
135,11.7804,78.7317,India,Tamil Nadu,,Sankarapuram
136,21.9409,87.9347,India,West Bengal,,Khejuri-I
137,21.7139,73.4733,India,Gujarat,,Nandod Taluka
138,28.1973,79.3734,India,Uttar Pradesh,,Aonla
139,21.1139,82.5389,India,Chhattisgarh,,Pithora Tahsil
140,25.886,83.2115,India,Uttar Pradesh,,Azamgarh
141,20.9915,86.2759,India,Odisha,,Korai
142,17.9836,73.435,India,Maharashtra,,Mahad
143,16.9772,79.9654,India,Telangana,,Kodad mandal
144,27.4363,87.0126,Nepal,Province No. 1,,Khatamma
145,24.1288,80.1999,India,Madhya Pradesh,,Shahnagar Tahsil
146,20.9765,86.4305,India,Odisha,,Dhamanagar
147,21.433,73.0739,India,Gujarat,,Mangrol Taluka
148,31.6718,78.4423,India,Himachal Pradesh,,Poo
149,24.6862,89.4002,Bangladesh,Rajshahi Division,,Bogra District
150,21.0247,73.7641,India,Gujarat,,Songadh Taluka
151,25.4989,85.8918,India,Bihar,,Ganges
152,12.1226,75.4747,India,Kerala,Naduvil,Naduvil
153,20.6258,85.8936,India,Odisha,,Choudwar
154,21.9811,73.9596,India,Gujarat,,Chhota Udaipur district
155,19.1881,79.2948,India,Telangana,,Tiryani mandal
156,12.9158,74.9274,India,Karnataka,,Mangaluru taluk
157,21.3961,73.44,India,Gujarat,,Mandvi Taluka
158,10.9485,79.0643,India,Tamil Nadu,,Ariyalur
159,11.8739,75.527,India,Kerala,Vengad,Vengad
160,21.5391,73.2201,India,Gujarat,,Bharuch district
161,30.5622,78.5235,India,Uttarakhand,,Dunda
162,20.8681,73.6623,India,Gujarat,,Purna WLS
163,22.342,88.9351,India,West Bengal,,Sandeshkhali - II
164,25.8418,89.2696,Bangladesh,Rangpur Division,,Rangpur District
165,27.8034,95.3833,India,Assam,,Jonai
166,10.4517,78.7843,India,Tamil Nadu,,Kulathur taluk
167,14.8405,79.054,India,Andhra Pradesh,,Kadapa District
168,16.746,79.1214,India,Telangana,,Peda Adisharla Palli mandal
169,26.5321,84.87,India,Bihar,,Kotwa
170,26.7556,83.0513,India,Uttar Pradesh,,Khalilabad
171,32.6061,76.1481,India,Himachal Pradesh,,Chamba
172,30.7738,79.8583,India,Uttarakhand,,Northern Nanda Subsection
173,21.0559,84.7987,India,Odisha,,Chhendipada
174,9.72651,76.423,India,Kerala,,Kottayam district
175,22.8284,71.2868,India,Gujarat,,Muli Taluka
176,24.4457,92.0058,Bangladesh,Sylhet Division,,Moulvibazar District
177,24.0841,88.5453,India,West Bengal,,Domkal
178,19.9343,80.0385,India,Maharashtra,,Chamorshi
179,26.9607,80.4678,India,Uttar Pradesh,,Hasanganj
180,17.1335,79.2098,India,Telangana,,Nalgonda mandal
181,27.094,94.643,India,Assam,,Dimow
182,31.806,77.6925,India,Himachal Pradesh,,Sainj
183,15.811,74.5207,India,Karnataka,,Belagavi taluku
184,27.4268,94.7981,India,Assam,,Dibrugarh West
185,21.1735,85.3527,India,Odisha,,Khamar
186,23.3997,88.9474,Bangladesh,Khulna Division,,Jhenaidah District
187,16.1464,79.4042,India,Andhra Pradesh,,Pullalacheruvu mandal
188,20.4037,74.4164,India,Maharashtra,,Malegaon
189,24.0181,68.8677,India,Gujarat,,Kutch district
190,13.8493,78.9883,India,Andhra Pradesh,,Kambhamvaripalle mandal
191,16.9874,82.1012,India,Andhra Pradesh,,Samalkota mandal
192,33.9398,74.8298,India,Jammu and Kashmir,,Chadoora
193,18.8234,75.4418,India,Maharashtra,,Patoda
194,31.7905,77.3409,India,Himachal Pradesh,,Sainj
195,24.0572,86.2554,India,Jharkhand,,Pirtanr
196,9.49041,76.6811,India,Kerala,,Kottayam district
197,26.0909,92.9144,India,Assam,,Doboka
198,22.4404,71.3091,India,Gujarat,,Sayla Taluka
199,17.0009,81.7657,India,Andhra Pradesh,,Godavari
200,15.0341,78.7288,India,Andhra Pradesh,,Nallamala Hills
201,24.7685,85.6883,India,Bihar,,Gobindpur
202,27.4105,92.3599,India,Arunachal Pradesh,,Thembang Circle
203,26.5766,73.762,India,Rajasthan,,Merta Tehsil
204,16.4132,80.612,India,Andhra Pradesh,,Guntur district
205,22.4615,87.3749,India,West Bengal,,Midnapore
206,27.5887,88.4616,India,Sikkim,,Western Sikkim Subsection
207,28.2424,76.8263,India,Haryana,,Rewari
208,26.0363,92.8902,India,Assam,,Hojai
209,23.2582,92.8575,India,Mizoram,,Serchhip
210,16.2498,80.0422,India,Andhra Pradesh,,Guntur district
211,10.7214,78.7248,India,Tamil Nadu,,Thiruverumbur
212,20.1358,84.4369,India,Odisha,,Bhanjanagar
213,31.5294,77.0555,India,Himachal Pradesh,,Chachyot
214,20.7866,79.2684,India,Maharashtra,,Umred
215,31.7668,77.27,India,Himachal Pradesh,,Sainj
216,31.7821,76.9177,India,Himachal Pradesh,,Kotli
217,27.586,80.6237,India,Uttar Pradesh,,Sitapur
218,31.7869,77.252,India,Himachal Pradesh,,Sainj
219,20.6258,76.6191,India,Maharashtra,,Khamgaon
220,12.5851,79.9572,India,Tamil Nadu,,Maduranthakam
221,11.054,77.5024,India,Tamil Nadu,,Kangeyam
222,13.407,75.4042,India,Karnataka,,Koppa taluk
223,27.9917,78.9675,India,Uttar Pradesh,,Budaun
224,25.1622,89.7567,Bangladesh,Mymensingh Division,,Jamalpur District
225,24.9382,92.0974,Bangladesh,Sylhet Division,,Sylhet District
226,13.0242,78.8487,India,Tamil Nadu,,Gudiyatham
227,24.8678,80.7003,India,Madhya Pradesh,,Majhgawan Tahsil
228,20.5033,86.0449,India,Odisha,,Jagatpur
229,26.9122,94.46,India,Assam,,Teok
230,16.5216,75.9695,India,Karnataka,,Basavana Bagevadi Taluku
231,14.0025,79.4752,India,Andhra Pradesh,,Venkatagiri mandal
232,24.3395,87.8328,India,West Bengal,,Nalhati I community development block
233,24.707,85.7348,India,Jharkhand,,Satgawan
234,28.3671,81.0334,India,Uttar Pradesh,,Nighasan
235,20.2047,84.4178,India,Odisha,,Tikabali
236,20.9474,79.1574,India,Maharashtra,,Umred
237,26.6059,92.9592,India,Assam,,Kaliabor
238,15.733,73.7324,India,Maharashtra,,Sawantwadi
239,24.4696,92.4232,India,Assam,,Ramkrishna Nagar
240,11.3982,77.0504,India,Tamil Nadu,,Mettupalayam
241,26.0747,92.817,India,Assam,,Hojai
242,22.4257,71.3244,India,Gujarat,,Sayla Taluka
243,27.5435,80.6956,India,Uttar Pradesh,,Sitapur
244,26.7055,78.8703,India,Uttar Pradesh,,Etawah
245,26.7553,92.7754,India,Assam,,Chariduar
246,16.2843,80.6926,India,Andhra Pradesh,,Kollipara mandal
247,33.8036,76.2592,India,Ladakh,,Zanskar
248,26.4375,80.8611,India,Uttar Pradesh,,Purwa
249,15.1816,76.4736,India,Karnataka,,Sanduru taluk
250,24.8678,92.8291,India,Assam,,Udarbond
251,19.1131,72.8962,India,Maharashtra,Mumbai,L Ward
252,30.9339,75.0459,India,Punjab,,Zira Tahsil
253,26.5037,86.5429,India,Bihar,,Laukaha
254,18.4311,80.713,India,Chhattisgarh,,Usur Tahsil
255,22.0189,71.1117,India,Gujarat,,Jasdan Taluka
256,28.886,80.7246,Nepal,Sudurpashchim Pradesh,Rural Municipality,Khairala
257,26.988,92.926,India,Arunachal Pradesh,,Pakke/Pakhui WLS/Tiger Reserve
258,26.4813,92.0622,India,Assam,,Dalgaon (Pt)
259,23.6547,89.4296,Bangladesh,Khulna Division,,Magura District
260,17.4331,80.187,India,Telangana,,Kamepally mandal
261,25.6339,84.0726,India,Bihar,,Buxar
262,21.1495,86.7154,India,Odisha,,Basudebpur
263,26.4816,82.8434,India,Uttar Pradesh,,Allapur
264,32.8353,76.9103,India,Himachal Pradesh,,Udaipur
265,14.5398,75.0937,India,Karnataka,,Soraba taluk
